Date,place,Cured,Deaths,Confirmed
18/04/20,Andhra Pradesh,42,15,603
18/04/20,Arunachal Pradesh,0,0,1
18/04/20,Assam,9,1,35
18/04/20,Bihar,37,2,85
18/04/20,Chandigarh,9,0,21
18/04/20,Chhattisgarh,24,0,36
18/04/20,Delhi,72,42,1707
18/04/20,Goa,6,0,7
18/04/20,Gujarat,88,48,1272
18/04/20,Haryana,43,3,225
18/04/20,Himachal Pradesh,16,1,38
18/04/20,Jammu and Kashmir,42,5,328
18/04/20,Jharkhand,0,2,33
18/04/20,Karnataka,92,13,371
18/04/20,Kerala,255,3,396
18/04/20,Ladakh,14,0,18
18/04/20,Madhya Pradesh,69,69,1355
18/04/20,Maharashtra,331,201,3323
18/04/20,Manipur,1,0,2
18/04/20,Meghalaya,0,1,11
18/04/20,Mizoram,0,0,1
18/04/20,Nagaland,0,0,0
18/04/20,Odisha,21,1,60
18/04/20,Puducherry,3,0,7
18/04/20,Punjab,27,13,202
18/04/20,Rajasthan,183,11,1229
18/04/20,Tamil Nadu,283,15,1323
18/04/20,Telengana,186,18,791
18/04/20,Tripura,1,0,2
18/04/20,Uttarakhand,9,0,42
18/04/20,Uttar Pradesh,86,14,969
18/04/20,West Bengal,55,10,287
19/04/20,Andaman and Nicobar Islands,11,0,14
19/04/20,Andhra Pradesh,42,15,603
19/04/20,Arunachal Pradesh,0,0,1
19/04/20,Assam,12,1,35
19/04/20,Bihar,37,2,86
19/04/20,Chandigarh,10,0,23
19/04/20,Chhattisgarh,24,0,36
19/04/20,Delhi,72,43,1893
19/04/20,Goa,6,0,7
19/04/20,Gujarat,94,58,1604
19/04/20,Haryana,87,3,233
19/04/20,Himachal Pradesh,16,1,39
19/04/20,Jammu and Kashmir,51,5,341
19/04/20,Jharkhand,0,2,35
19/04/20,Karnataka,104,14,384
19/04/20,Kerala,257,3,400
19/04/20,Ladakh,14,0,18
19/04/20,Madhya Pradesh,127,70,1407
19/04/20,Maharashtra,365,211,3651
19/04/20,Manipur,1,0,2
19/04/20,Meghalaya,0,1,11
19/04/20,Mizoram,0,0,1
19/04/20,Nagaland,0,0,0
19/04/20,Odisha,24,1,61
19/04/20,Puducherry,3,0,7
19/04/20,Punjab,31,16,219
19/04/20,Rajasthan,183,11,1351
19/04/20,Tamil Nadu,365,15,1372
19/04/20,Telengana,186,18,844
19/04/20,Tripura,1,0,2
19/04/20,Uttarakhand,9,0,42
19/04/20,Uttar Pradesh,108,17,1084
19/04/20,West Bengal,62,12,310
20/04/20,Andaman and Nicobar Islands,11,0,15
20/04/20,Andhra Pradesh,92,20,722
20/04/20,Arunachal Pradesh,0,0,1
20/04/20,Assam,17,1,35
20/04/20,Bihar,42,2,96
20/04/20,Chandigarh,13,0,26
20/04/20,Chhattisgarh,25,0,36
20/04/20,Delhi,290,45,2003
20/04/20,Goa,7,0,7
20/04/20,Gujarat,106,67,1851
20/04/20,Haryana,87,3,233
20/04/20,Himachal Pradesh,16,1,39
20/04/20,Jammu and Kashmir,56,5,350
20/04/20,Jharkhand,0,2,42
20/04/20,Karnataka,111,16,395
20/04/20,Kerala,270,3,402
20/04/20,Ladakh,14,0,18
20/04/20,Madhya Pradesh,127,74,1485
20/04/20,Maharashtra,507,223,4203
20/04/20,Manipur,2,0,2
20/04/20,Meghalaya,0,1,11
20/04/20,Mizoram,0,0,1
20/04/20,Nagaland,0,0,0
20/04/20,Odisha,24,1,68
20/04/20,Puducherry,3,0,7
20/04/20,Punjab,31,16,219
20/04/20,Rajasthan,183,14,1478
20/04/20,Tamil Nadu,411,15,1477
20/04/20,Telengana,190,21,873
20/04/20,Tripura,1,0,2
20/04/20,Uttarakhand,11,0,44
20/04/20,Uttar Pradesh,129,17,1176
20/04/20,West Bengal,66,12,339
21/04/20,Andaman and Nicobar Islands,11,0,16
21/04/20,Andhra Pradesh,96,22,757
21/04/20,Arunachal Pradesh,1,0,1
21/04/20,Assam,19,1,35
21/04/20,Bihar,42,2,114
21/04/20,Chandigarh,13,0,26
21/04/20,Chhattisgarh,25,0,36
21/04/20,Delhi,431,47,2081
21/04/20,Goa,7,0,7
21/04/20,Gujarat,131,77,2066
21/04/20,Haryana,127,3,254
21/04/20,Himachal Pradesh,16,1,39
21/04/20,Jammu and Kashmir,71,5,368
21/04/20,Jharkhand,0,2,46
21/04/20,Karnataka,114,17,415
21/04/20,Kerala,291,3,408
21/04/20,Ladakh,14,0,18
21/04/20,Madhya Pradesh,127,76,1540
21/04/20,Maharashtra,572,232,4669
21/04/20,Manipur,2,0,2
21/04/20,Meghalaya,0,1,11
21/04/20,Mizoram,0,0,1
21/04/20,Nagaland,0,0,0
21/04/20,Odisha,24,1,74
21/04/20,Puducherry,3,0,7
21/04/20,Punjab,39,16,245
21/04/20,Rajasthan,205,25,1576
21/04/20,Tamil Nadu,457,17,1520
21/04/20,Telengana,190,23,919
21/04/20,Tripura,1,0,2
21/04/20,Uttarakhand,18,0,46
21/04/20,Uttar Pradesh,140,20,1294
21/04/20,West Bengal,73,12,392
22/04/20,Andaman and Nicobar Islands,11,0,17
22/04/20,Andhra Pradesh,120,24,813
22/04/20,Arunachal Pradesh,1,0,1
22/04/20,Assam,19,1,35
22/04/20,Bihar,46,2,126
22/04/20,Chandigarh,14,0,27
22/04/20,Chhattisgarh,26,0,36
22/04/20,Delhi,611,47,2156
22/04/20,Goa,7,0,7
22/04/20,Gujarat,144,95,2272
22/04/20,Haryana,127,3,254
22/04/20,Himachal Pradesh,16,1,39
22/04/20,Jammu and Kashmir,81,5,380
22/04/20,Jharkhand,0,3,45
22/04/20,Karnataka,129,17,425
22/04/20,Kerala,323,3,427
22/04/20,Ladakh,14,0,18
22/04/20,Madhya Pradesh,148,80,1592
22/04/20,Maharashtra,722,251,5221
22/04/20,Manipur,2,0,2
22/04/20,Meghalaya,0,1,12
22/04/20,Mizoram,0,0,1
22/04/20,Odisha,30,1,82
22/04/20,Puducherry,3,0,7
22/04/20,Punjab,49,16,251
22/04/20,Rajasthan,230,25,1801
22/04/20,Tamil Nadu,635,18,1596
22/04/20,Telengana,194,23,945
22/04/20,Tripura,1,0,2
22/04/20,Uttarakhand,19,0,46
22/04/20,Uttar Pradesh,165,21,1412
22/04/20,West Bengal,73,15,423
23/04/20,Andaman and Nicobar Islands,11,0,18
23/04/20,Andhra Pradesh,141,27,895
23/04/20,Arunachal Pradesh,1,0,1
23/04/20,Assam,19,1,35
23/04/20,Bihar,46,2,148
23/04/20,Chandigarh,14,0,27
23/04/20,Chhattisgarh,28,0,36
23/04/20,Delhi,724,48,2248
23/04/20,Goa,7,0,7
23/04/20,Gujarat,179,103,2407
23/04/20,Haryana,140,3,262
23/04/20,Himachal Pradesh,18,1,40
23/04/20,Jammu and Kashmir,92,5,407
23/04/20,Jharkhand,8,3,49
23/04/20,Karnataka,141,17,443
23/04/20,Kerala,324,3,438
23/04/20,Ladakh,14,0,18
23/04/20,Madhya Pradesh,148,81,1695
23/04/20,Maharashtra,789,269,5652
23/04/20,Manipur,2,0,2
23/04/20,Meghalaya,0,1,12
23/04/20,Mizoram,0,0,1
23/04/20,Odisha,32,1,83
23/04/20,Puducherry,3,0,7
23/04/20,Punjab,65,16,277
23/04/20,Rajasthan,230,27,1890
23/04/20,Tamil Nadu,662,18,1629
23/04/20,Telengana,197,24,960
23/04/20,Tripura,1,0,2
23/04/20,Uttarakhand,23,0,46
23/04/20,Uttar Pradesh,187,21,1509
23/04/20,West Bengal,79,15,456
24/04/20,Andaman and Nicobar Islands,11,0,22
24/04/20,Andhra Pradesh,145,29,955
24/04/20,Arunachal Pradesh,1,0,1
24/04/20,Assam,19,1,36
24/04/20,Bihar,46,2,176
24/04/20,Chandigarh,14,0,27
24/04/20,Chhattisgarh,28,0,36
24/04/20,Delhi,808,50,2376
24/04/20,Goa,7,0,7
24/04/20,Gujarat,258,112,2624
24/04/20,Haryana,156,3,272
24/04/20,Himachal Pradesh,18,1,40
24/04/20,Jammu and Kashmir,92,5,427
24/04/20,Jharkhand,8,3,55
24/04/20,Karnataka,150,18,463
24/04/20,Kerala,324,3,448
24/04/20,Ladakh,14,0,18
24/04/20,Madhya Pradesh,203,83,1852
24/04/20,Maharashtra,840,283,6430
24/04/20,Manipur,2,0,2
24/04/20,Meghalaya,0,1,12
24/04/20,Mizoram,0,0,1
24/04/20,Odisha,33,1,90
24/04/20,Puducherry,3,0,7
24/04/20,Punjab,65,16,277
24/04/20,Rajasthan,230,27,1964
24/04/20,Tamil Nadu,752,20,1683
24/04/20,Telengana,253,26,984
24/04/20,Tripura,1,0,2
24/04/20,Uttarakhand,24,0,47
24/04/20,Uttar Pradesh,206,24,1604
24/04/20,West Bengal,103,15,514
25/04/20,Andaman and Nicobar Islands,11,0,27
25/04/20,Andhra Pradesh,171,31,1061
25/04/20,Arunachal Pradesh,1,0,1
25/04/20,Assam,19,1,36
25/04/20,Bihar,46,2,228
25/04/20,Chandigarh,15,0,28
25/04/20,Chhattisgarh,30,0,36
25/04/20,Delhi,857,53,2514
25/04/20,Goa,7,0,7
25/04/20,Gujarat,265,127,2815
25/04/20,Haryana,156,3,272
25/04/20,Himachal Pradesh,18,1,40
25/04/20,Jammu and Kashmir,109,5,454
25/04/20,Jharkhand,9,3,59
25/04/20,Karnataka,153,18,489
25/04/20,Kerala,331,4,451
25/04/20,Ladakh,14,0,20
25/04/20,Madhya Pradesh,210,92,1952
25/04/20,Maharashtra,957,301,6817
25/04/20,Manipur,2,0,2
25/04/20,Meghalaya,0,1,12
25/04/20,Mizoram,0,0,1
25/04/20,Odisha,33,1,94
25/04/20,Puducherry,3,0,7
25/04/20,Punjab,67,17,298
25/04/20,Rajasthan,230,27,2034
25/04/20,Tamil Nadu,866,22,1755
25/04/20,Telengana,253,26,984
25/04/20,Tripura,1,0,2
25/04/20,Uttarakhand,25,0,48
25/04/20,Uttar Pradesh,248,26,1778
25/04/20,West Bengal,103,18,571
26/04/20,Andaman and Nicobar Islands,11,0,33
26/04/20,Andhra Pradesh,231,31,1097
26/04/20,Arunachal Pradesh,1,0,1
26/04/20,Assam,19,1,36
26/04/20,Bihar,46,2,251
26/04/20,Chandigarh,17,0,30
26/04/20,Chhattisgarh,32,0,37
26/04/20,Delhi,869,54,2625
26/04/20,Goa,7,0,7
26/04/20,Gujarat,282,133,3071
26/04/20,Haryana,176,3,289
26/04/20,Himachal Pradesh,22,1,40
26/04/20,Jammu and Kashmir,112,6,494
26/04/20,Jharkhand,13,3,67
26/04/20,Karnataka,177,18,501
26/04/20,Kerala,338,4,458
26/04/20,Ladakh,14,0,20
26/04/20,Madhya Pradesh,210,99,2096
26/04/20,Maharashtra,1076,323,7628
26/04/20,Manipur,2,0,2
26/04/20,Meghalaya,0,1,12
26/04/20,Mizoram,0,0,1
26/04/20,Odisha,34,1,103
26/04/20,Puducherry,3,0,7
26/04/20,Punjab,67,17,298
26/04/20,Rajasthan,493,33,2083
26/04/20,Tamil Nadu,960,23,1821
26/04/20,Telengana,280,26,991
26/04/20,Tripura,2,0,2
26/04/20,Uttarakhand,26,0,50
26/04/20,Uttar Pradesh,289,29,1843
26/04/20,West Bengal,105,18,611
27/04/20,Andaman and Nicobar Islands,11,0,33
27/04/20,Andhra Pradesh,235,31,1177
27/04/20,Arunachal Pradesh,1,0,1
27/04/20,Assam,27,1,36
27/04/20,Bihar,56,2,277
27/04/20,Chandigarh,17,0,30
27/04/20,Chhattisgarh,32,0,37
27/04/20,Delhi,877,54,2918
27/04/20,Goa,7,0,7
27/04/20,Gujarat,313,151,3301
27/04/20,Haryana,176,3,289
27/04/20,Himachal Pradesh,22,1,40
27/04/20,Jammu and Kashmir,137,6,523
27/04/20,Jharkhand,13,3,82
27/04/20,Karnataka,188,20,511
27/04/20,Kerala,342,4,469
27/04/20,Ladakh,14,0,20
27/04/20,Madhya Pradesh,302,106,2168
27/04/20,Maharashtra,1188,342,8068
27/04/20,Manipur,2,0,2
27/04/20,Meghalaya,0,1,12
27/04/20,Mizoram,0,0,1
27/04/20,Odisha,35,1,108
27/04/20,Puducherry,3,0,8
27/04/20,Punjab,71,18,313
27/04/20,Rajasthan,518,41,2185
27/04/20,Tamil Nadu,1020,24,1885
27/04/20,Telengana,280,26,1002
27/04/20,Tripura,2,0,2
27/04/20,Uttarakhand,33,0,51
27/04/20,Uttar Pradesh,335,31,1955
27/04/20,West Bengal,105,20,649
28/04/20,Andaman and Nicobar Islands,11,0,33
28/04/20,Andhra Pradesh,258,31,1259
28/04/20,Arunachal Pradesh,1,0,1
28/04/20,Assam,27,1,38
28/04/20,Bihar,57,2,346
28/04/20,Chandigarh,17,0,40
28/04/20,Chhattisgarh,32,0,37
28/04/20,Delhi,877,54,3108
28/04/20,Goa,7,0,7
28/04/20,Gujarat,394,162,3548
28/04/20,Haryana,183,3,296
28/04/20,Himachal Pradesh,22,1,40
28/04/20,Jammu and Kashmir,164,7,546
28/04/20,Jharkhand,17,3,103
28/04/20,Karnataka,198,20,520
28/04/20,Kerala,355,4,482
28/04/20,Ladakh,16,0,22
28/04/20,Madhya Pradesh,361,113,2368
28/04/20,Maharashtra,1282,369,8590
28/04/20,Manipur,2,0,2
28/04/20,Meghalaya,0,1,12
28/04/20,Mizoram,0,0,1
28/04/20,Odisha,37,1,118
28/04/20,Puducherry,3,0,8
28/04/20,Punjab,71,18,313
28/04/20,Rajasthan,669,46,2262
28/04/20,Tamil Nadu,1101,24,1937
28/04/20,Telengana,321,26,1004
28/04/20,Tripura,2,0,2
28/04/20,Uttarakhand,33,0,51
28/04/20,Uttar Pradesh,400,31,2043
28/04/20,West Bengal,109,20,697
29/04/20,Andaman and Nicobar Islands,15,0,33
29/04/20,Andhra Pradesh,287,31,1332
29/04/20,Arunachal Pradesh,1,0,1
29/04/20,Assam,27,1,38
29/04/20,Bihar,64,2,383
29/04/20,Chandigarh,17,0,56
29/04/20,Chhattisgarh,34,0,38
29/04/20,Delhi,1078,54,3314
29/04/20,Goa,7,0,7
29/04/20,Gujarat,434,181,3774
29/04/20,Haryana,209,3,310
29/04/20,Himachal Pradesh,25,1,40
29/04/20,Jammu and Kashmir,176,8,565
29/04/20,Jharkhand,19,3,105
29/04/20,Karnataka,215,20,532
29/04/20,Kerala,359,4,486
29/04/20,Ladakh,16,0,22
29/04/20,Madhya Pradesh,377,119,2561
29/04/20,Maharashtra,1388,400,9318
29/04/20,Manipur,2,0,2
29/04/20,Meghalaya,0,1,12
29/04/20,Mizoram,0,0,1
29/04/20,Odisha,38,1,119
29/04/20,Puducherry,3,0,8
29/04/20,Punjab,71,19,322
29/04/20,Rajasthan,768,51,2364
29/04/20,Tamil Nadu,1168,25,2058
29/04/20,Telengana,367,26,1012
29/04/20,Tripura,2,0,2
29/04/20,Uttarakhand,34,0,54
29/04/20,Uttar Pradesh,477,36,2115
29/04/20,West Bengal,119,22,725
30/04/20,Andaman and Nicobar Islands,15,0,33
30/04/20,Andhra Pradesh,321,31,1403
30/04/20,Arunachal Pradesh,1,0,1
30/04/20,Assam,29,1,42
30/04/20,Bihar,65,2,403
30/04/20,Chandigarh,17,0,56
30/04/20,Chhattisgarh,36,0,38
30/04/20,Delhi,1092,56,3439
30/04/20,Goa,7,0,7
30/04/20,Gujarat,527,197,4082
30/04/20,Haryana,209,3,310
30/04/20,Himachal Pradesh,25,1,40
30/04/20,Jammu and Kashmir,192,8,581
30/04/20,Jharkhand,19,3,107
30/04/20,Karnataka,223,21,557
30/04/20,Kerala,369,4,496
30/04/20,Ladakh,16,0,22
30/04/20,Madhya Pradesh,461,130,2660
30/04/20,Maharashtra,1593,432,9915
30/04/20,Manipur,2,0,2
30/04/20,Meghalaya,0,1,12
30/04/20,Mizoram,0,0,1
30/04/20,Odisha,39,1,128
30/04/20,Puducherry,5,0,8
30/04/20,Punjab,90,19,357
30/04/20,Rajasthan,768,51,2438
30/04/20,Tamil Nadu,1210,27,2162
30/04/20,Telengana,367,26,1012
30/04/20,Tripura,2,0,2
30/04/20,Uttarakhand,36,0,55
30/04/20,Uttar Pradesh,513,39,2203
30/04/20,West Bengal,124,22,758
1/5/2020,Andaman and Nicobar Islands,16,0,33
1/5/2020,Andhra Pradesh,403,33,1463
1/5/2020,Arunachal Pradesh,1,0,1
1/5/2020,Assam,29,1,42
1/5/2020,Bihar,82,2,426
1/5/2020,Chandigarh,17,0,56
1/5/2020,Chhattisgarh,36,0,40
1/5/2020,Delhi,1094,59,3515
1/5/2020,Goa,7,0,7
1/5/2020,Gujarat,613,214,4395
1/5/2020,Haryana,209,3,313
1/5/2020,Himachal Pradesh,28,1,40
1/5/2020,Jammu and Kashmir,216,8,614
1/5/2020,Jharkhand,20,3,111
1/5/2020,Karnataka,235,22,576
1/5/2020,Kerala,383,4,497
1/5/2020,Ladakh,16,0,22
1/5/2020,Madhya Pradesh,482,137,2719
1/5/2020,Maharashtra,1773,459,10498
1/5/2020,Manipur,2,0,2
1/5/2020,Meghalaya,0,1,12
1/5/2020,Mizoram,0,0,1
1/5/2020,Odisha,41,1,143
1/5/2020,Puducherry,5,0,8
1/5/2020,Punjab,90,19,357
1/5/2020,Rajasthan,836,58,2584
1/5/2020,Tamil Nadu,1258,27,2323
1/5/2020,Telengana,441,26,1039
1/5/2020,Tripura,2,0,2
1/5/2020,Uttarakhand,36,0,57
1/5/2020,Uttar Pradesh,555,41,2281
1/5/2020,West Bengal,139,33,795
2/5/2020,Andaman and Nicobar Islands,16,0,33
2/5/2020,Andhra Pradesh,403,33,1463
2/5/2020,Arunachal Pradesh,1,0,1
2/5/2020,Assam,32,1,43
2/5/2020,Bihar,98,3,471
2/5/2020,Chandigarh,17,0,88
2/5/2020,Chhattisgarh,36,0,43
2/5/2020,Delhi,1167,61,3738
2/5/2020,Goa,7,0,7
2/5/2020,Gujarat,735,236,4721
2/5/2020,Haryana,227,4,360
2/5/2020,Himachal Pradesh,30,1,40
2/5/2020,Jammu and Kashmir,247,8,639
2/5/2020,Jharkhand,20,3,111
2/5/2020,Karnataka,251,22,589
2/5/2020,Kerala,392,4,497
2/5/2020,Ladakh,17,0,22
2/5/2020,Madhya Pradesh,524,145,2719
2/5/2020,Maharashtra,1879,485,11506
2/5/2020,Manipur,2,0,2
2/5/2020,Meghalaya,0,1,12
2/5/2020,Mizoram,0,0,1
2/5/2020,Odisha,55,1,149
2/5/2020,Puducherry,5,0,8
2/5/2020,Punjab,90,19,480
2/5/2020,Rajasthan,1116,62,2666
2/5/2020,Tamil Nadu,1312,28,2526
2/5/2020,Telengana,441,26,1039
2/5/2020,Tripura,2,0,2
2/5/2020,Uttarakhand,36,0,58
2/5/2020,Uttar Pradesh,654,42,2328
2/5/2020,West Bengal,139,33,795
3/5/2020,Andaman and Nicobar Islands,17,0,33
3/5/2020,Andhra Pradesh,488,33,1583
3/5/2020,Arunachal Pradesh,1,0,1
3/5/2020,Assam,32,1,43
3/5/2020,Bihar,117,4,482
3/5/2020,Chandigarh,19,0,94
3/5/2020,Chhattisgarh,36,0,43
3/5/2020,Delhi,1256,64,4122
3/5/2020,Goa,7,0,7
3/5/2020,Gujarat,896,262,5055
3/5/2020,Haryana,227,4,394
3/5/2020,Himachal Pradesh,33,1,40
3/5/2020,Jammu and Kashmir,254,8,666
3/5/2020,Jharkhand,22,3,115
3/5/2020,Karnataka,282,25,606
3/5/2020,Kerala,400,4,500
3/5/2020,Ladakh,17,0,40
3/5/2020,Madhya Pradesh,798,156,2846
3/5/2020,Maharashtra,2000,521,12296
3/5/2020,Manipur,2,0,2
3/5/2020,Meghalaya,0,1,12
3/5/2020,Mizoram,0,0,1
3/5/2020,Odisha,56,1,160
3/5/2020,Puducherry,5,0,8
3/5/2020,Punjab,112,20,772
3/5/2020,Rajasthan,1121,65,2772
3/5/2020,Tamil Nadu,1341,29,2757
3/5/2020,Telengana,458,28,1063
3/5/2020,Tripura,2,0,4
3/5/2020,Uttarakhand,39,0,59
3/5/2020,Uttar Pradesh,698,43,2626
3/5/2020,West Bengal,151,33,922
4/5/2020,Andaman and Nicobar Islands,32,0,33
4/5/2020,Andhra Pradesh,524,36,1650
4/5/2020,Arunachal Pradesh,1,0,1
4/5/2020,Assam,32,1,43
4/5/2020,Bihar,125,4,517
4/5/2020,Chandigarh,19,0,94
4/5/2020,Chhattisgarh,36,0,57
4/5/2020,Delhi,1362,64,4549
4/5/2020,Goa,7,0,7
4/5/2020,Gujarat,1042,290,5428
4/5/2020,Haryana,245,5,442
4/5/2020,Himachal Pradesh,34,1,40
4/5/2020,Jammu and Kashmir,287,8,701
4/5/2020,Jharkhand,22,3,115
4/5/2020,Karnataka,304,26,642
4/5/2020,Kerala,401,4,500
4/5/2020,Ladakh,17,0,41
4/5/2020,Madhya Pradesh,798,165,2942
4/5/2020,Maharashtra,2115,548,12974
4/5/2020,Manipur,2,0,2
4/5/2020,Meghalaya,0,1,12
4/5/2020,Mizoram,0,0,1
4/5/2020,Odisha,60,1,163
4/5/2020,Puducherry,5,0,8
4/5/2020,Punjab,117,21,1102
4/5/2020,Rajasthan,1356,71,2886
4/5/2020,Tamil Nadu,1379,30,3023
4/5/2020,Telengana,490,29,1082
4/5/2020,Tripura,2,0,16
4/5/2020,Uttarakhand,39,1,60
4/5/2020,Uttar Pradesh,758,45,2742
4/5/2020,West Bengal,151,35,963
5/5/2020,Andaman and Nicobar Islands,32,0,33
5/5/2020,Andhra Pradesh,589,36,1717
5/5/2020,Arunachal Pradesh,1,0,1
5/5/2020,Assam,32,1,43
